A cheetah runs very quickly.	Is it fast or slow?
A snail moves very slowly.	Is it fast or slow?
You drop the apple from your hand.	What happens to it?
You gently place the book on the shelf. 	What happens to it?
You walk on the ice.	Do you slide or not?
You walk on the carpet.	Do you slide or not?
You put the wooden block in the water.	Does it float or sink?
You drop the rock into the pool.	Does it float or sink?
You touch the diamond.	Does it feel hard or soft?
You press your hand on the marshmallow.	Does it feel hard or soft?
You drop the basketball on the floor.	Does it bounce back up?
You drop the egg on the floor.	Does it bounce back up?
You bring a magnet near the iron nail.	Does the magnet pull it?
You bring a magnet near the wooden pencil.	Does the magnet pull it?
You hear a thunderclap.	Is it loud or quiet?
You hear a whisper.	Is it loud or quiet?
You touch the campfire.	Does it feel hot or cold?
You touch the ice cube.	Does it feel hot or cold?
The cheetah runs very quickly, and the rock feels very hard.	Is the cheetah fast or slow?
The cheetah runs very quickly, and the rock feels very hard.	Is the rock hard or soft?
You hold a magnet close to the steel spoon, and you step onto the banana peel.	Does the magnet pull it?
You hold a magnet close to the steel spoon, and you step onto the banana peel.	What happens to your feet?
You drop the glass cup on the hard floor, and a fire truck siren is heard nearby.	Does it break?
You drop the glass cup on the hard floor, and a fire truck siren is heard nearby.	Is it loud or quiet?
A turtle moves very slowly, and you touch the oven.	Is it fast or slow?
A turtle moves very slowly, and you touch the oven.	Does it feel hot or cold?
You give the soccer ball a small push, and you put the steel coin in the water.	Does it roll or stay put?
You give the soccer ball a small push, and you put the steel coin in the water.	Does it float or sink?
You touch the cube-shaped box, and you drop the tennis ball on the floor.	Does it roll away?
You touch the cube-shaped box, and you drop the tennis ball on the floor.	What happens when it hits the ground?
